Fecha;Cierre
3/12/2020;7201.8
3/11/2020;7952.05
3/10/2020;8344.25
3/09/2020;7950.68
3/06/2020;8575.62
3/05/2020;8738.6
3/04/2020;9018.09
3/03/2020;8684.09
3/02/2020;8952.16
02/28/2020;8567.37
02/27/2020;8566.48
02/26/2020;8980.77
02/25/2020;8965.61
02/24/2020;9221.28
02/21/2020;9576.59
02/20/2020;9750.96
02/19/2020;9817.18
02/18/2020;9732.74
02/14/2020;9731.18
02/13/2020;9711.97
2/12/2020;9725.96
2/11/2020;9638.94
2/10/2020;9628.39
2/07/2020;9520.51
2/06/2020;9572.15
2/05/2020;9508.68
2/04/2020;9467.97
2/03/2020;9273.4
01/31/2020;9150.94
01/30/2020;9298.93
01/29/2020;9275.16
01/28/2020;9269.68
01/27/2020;9139.31
01/24/2020;9314.91
01/23/2020;9402.48
01/22/2020;9383.77
01/21/2020;9370.81
01/17/2020;9388.94
01/16/2020;9357.13
01/15/2020;9258.7
01/14/2020;9251.33
01/13/2020;9273.93
1/10/2020;9178.86
1/09/2020;9203.43
1/08/2020;9129.24
1/07/2020;9068.58
1/06/2020;9071.46
1/03/2020;9020.77
1/02/2020;9092.19
12/31/2019;8972.6
12/30/2019;8945.99
